"","STATION","lat","long","Saturday 00:00","Saturday 04:00","Saturday 08:00","Saturday 12:00","Saturday 16:00","Saturday 20:00","Sunday 00:00","Sunday 05:00","Sunday 09:00","Sunday 13:00","Sunday 17:00","Sunday 21:00","Monday 01:00","Monday 05:00","Monday 09:00","Monday 13:00","Monday 17:00","Monday 21:00","Tuesday 01:00","Tuesday 05:00","Tuesday 09:00","Tuesday 13:00","Tuesday 17:00","Tuesday 21:00","Wednesday 01:00","Wednesday 05:00","Wednesday 09:00","Wednesday 13:00","Wednesday 17:00","Wednesday 21:00","Thursday 01:00","Thursday 05:00","Thursday 09:00","Thursday 13:00","Thursday 17:00","Thursday 21:00","Friday 01:00","Friday 05:00","Friday 09:00","Friday 13:00","Friday 17:00"
"45","225 ST",40.888022,-73.860341,1,459,523,379,191,-31,-10,297,281,372,131,11,62,1785,564,398,-155,-48,79,2010,572,481,-266,-70,66,1967,605,401,-182,-52,66,1958,593,514,-191,-58,65,1790,568,499,-17
"46","231 ST",40.878856,-73.904834,58,509,1241,1622,1109,497,407,950,1252,417,415,76,2245,2553,1397,1192,406,74,2386,2740,1495,1140,410,50,2367,2703,1286,1170,451,59,2320,2696,1268,1253,414,72,2140,2693,1557,1252,155.5
"47","233 ST",40.893193,-73.857473,15,529,681,609,391,80,28,311,431,500,257,122,83,2235,724,567,-13,42,78,2256,812,711,-23,75,85,2192,796,585,49,56,77,2289,816,607,121,44,63,2210,860,647,294
"48","238 ST",40.884667,-73.90087,40,400,668,687,554,224,56,236,473,453,316,142,62,1977,760,602,485,102,61,2124,790,735,571,154,63,2110,849,607,561,131,48,2058,794,659,568,165,56,1953,839,737,617
"49","23 ST",40.741303,-73.989344,1792,-1835,-4041,1595,6815,4796,1090,-1645,96,3010,3207,1228,-2989,-13670,23,25826,19334,3605,-3407,-14387,539,27475,20419,4296,-3267,-14107,831,27692,20722,4151,-3111,-12523,-467,24622,19975,4928,-2793,-12634,3557,24568,6556
"50","25 AV",40.597704,-73.986829,21,931,960,518,191,-10,-4,636,864,398,193,8,67,3245,1128,802,80,-28,71,3455,1203,822,131,-24,90,3405,1165,877,109,-17,73,3474,1173,877,144,-43,57,3301,1140,821,174
"51","25 ST",40.660397,-73.998091,-137,-56,207,166,109,-170,-226,114,258,-14,-210,-49,225,789,123,4,-266,-74,305,844,190,38,-342,-85,293,879,157,19,-388,-105,308,916,148,60,-320,-72,279,746,205,21,3460.5
"52","28 ST",40.745494,-73.988691,631,-903,-574,-200,-94,1037,460,-556,125,127,681,1160,-876,-7877,-4307,6413,9644,2298,-974,-9021,-5308,5740,9792,2460,-925,-8095,-4935,6441,10326,2595,-908,-7360,-5336,6073,9249,2516,-823,-8030,-3723,5934,7095
"53","2 AV",40.723402,-73.989938,1131,39,-476,-421,-716,255,1080,-238,111,55,502,190,-219,1211,498,-657,468,336,-431,795,552,-1395,921,387,-280,1140,501,-1176,732,400,-181,958,577,-1487,943,483,-449,1194,491,-2332,0
"54","30 AV",40.766779,-73.921479,-412,431,1623,1696,62,-643,-184,1113,748,-200,-581,-181,2224,2736,1999,-2821,-1693,-347,2481,5312,933,-2603,-1990,-341,2467,5420,955,-2564,-2305,-391,2342,3755,2773,-2476,-2082,-490,2095,4919,641,-2129,0
"55","33 ST",40.746081,-73.982076,328,-652,-47,528,239,1008,287,-178,232,71,328,846,-14,-2389,-2241,3145,6860,1198,72,-2765,-1881,3664,6856,1553,99,-2667,-2034,3480,7119,1485,91,-2860,-1571,3805,6391,1652,136,-3043,-1516,3696,5690
"56","33 ST-RAWSON ST",40.744587,-73.930997,-9,-325,-237,332,517,89,-129,-37,203,-57,-66,31,-2023,-2422,2672,5070,1597,26,-2169,-3251,3739,5347,1672,21,-2065,-3176,3670,5134,1667,14,-2018,-3037,3383,5345,1530,14,-1886,-2740,3216,4062,0
"57","34 ST-HERALD SQ",40.752287,-73.993391,2479,-1512,-4947,-552,6803,7385,1241,-3535,-287,5106,6168,718,-1584,-12936,577,19896,10446,1247,-2881,-15428,1465,21397,11358,1300,-3215,-16364,2706,20684,11449,1408,-2768,-12268,-2570,20294,11482,1580,-2532,-16290,1735,16579,0
"58","34 ST-HUDSON YD",40.752287,-73.993391,23,-597,-3599,-3208,1418,1296,-100,-2545,-2632,2473,128,38,-1166,-3005,-258,1951,1001,29,-1337,-3050,-43,1830,1047,30,-1281,-2635,-204,1652,1217,45,-1281,-2982,-441,1149,1180,117,-1283,-3038,-702,360,0
"59","34 ST-PENN STA",40.752287,-73.993391,1145,-756,-2343,-2108,-902,6847,138,-4618,-1381,5280,14896,4212,9231,35803,1227,-12392,5277,2928,9615,30976,992,-15302,3471,1928,9492,29085,505,-15223,2987,1482,10057,29042,-904,-14397,3596,1736,8091,23859,-1189,-14905,1048
"60","36 AV",40.756804,-73.929575,-137,226,664,662,94,-176,56,490,423,-151,-74,-90,707,1518,383,-429,-455,-92,675,1804,654,-323,-497,-139,714,1757,728,-241,-474,-139,633,1834,762,-279,-439,-213,604,1587,569,-292,709.5
"61","36 ST",40.655144,-74.003549,-199,487,494,1607,1244,-338,-200,387,585,1088,314,-230,-15,1372,639,2265,2805,-276,-23,1496,689,2518,2932,-302,-108,1429,746,2444,2966,-419,-41,1391,878,2394,2853,-458,-64,1386,801,2593,2467
"62","39 AV",40.752882,-73.932755,-14,42,545,171,93,-184,22,361,156,30,-66,19,-1,290,210,627,-125,-38,-2,367,295,702,-141,32,-19,376,413,632,-138,-18,-16,451,342,632,-337,-43,-14,336,320,514,0
"63","3 AV",40.732849,-73.986122,475,-63,-531,-172,-203,495,227,-415,-292,-93,272,260,-509,-1309,-5,907,1009,340,-682,-1590,-10,977,1341,170,-641,-1787,52,968,1121,278,-637,-1593,-83,953,1440,281,-597,-1396,56,687,0
"64","40 ST LOWERY ST",40.743781,-73.924016,-348,205,1069,610,-421,-693,-216,826,403,-427,-780,-108,825,2393,603,-822,-1029,-182,858,2577,526,-1043,-1222,-210,808,2573,648,-682,-1317,-279,895,2535,646,-815,-1274,-289,740,2351,806,-908,0
"65","42 ST-BRYANT PK",40.754672,-73.986754,879,-753,-2976,-2082,366,1595,669,-1881,-1655,754,1154,348,-3800,-10116,-5561,16276,4309,495,-4182,-17473,222,16976,4901,547,-4415,-17992,163,17196,5453,620,-4125,-18157,84,16106,5803,739,-3778,-17218,690,15367,0
"66","42 ST-PORT AUTH",40.754672,-73.986754,1158,-241,767,2671,983,7081,1509,629,-711,3454,7490,3255,15438,22299,1343,-3189,3683,3049,14967,16932,368,-6096,3157,3682,14334,16732,-1276,-4284,2185,4347,14499,14754,587,-4471,3258,4424,12860,14900,-268,-3214,2311
